Farfield Name,Separation S1-S2,Separation S2-S3,Peak,Peak %ch,P-to-P,P-to-P %ch,P/B,P/B %ch,X-corr,AvgdB,MaxdB,MaxPhase,Dropout Legal,X-corr Legal
3150T__035_2000_080_055,80,55,69.2,0.5,134.2,1.6,55.1,4.7,0.998,0.22,0.4,1.995,False,green
3150T__035_2000_080_060,80,60,69.2,0.4,134.1,1.5,54.7,3.9,0.9988,0.17,0.3,1.63,True,green
3150T__035_2000_080_065,80,65,69.1,0.3,133.7,1.3,54.2,3.0,0.9993,0.12,0.2,1.24,True,green
3150T__035_2000_080_070,80,70,69.0,0.2,133.3,0.9,53.7,2.0,0.9997,0.08,0.1,0.831,True,green
3150T__035_2000_080_075,80,75,68.9,0.1,132.7,0.5,53.1,1.0,0.9999,0.04,0.1,0.42200000000000004,True,green
3150T__035_2000_080_080,80,80,68.9,0.0,132.1,0.0,52.6,0.0,1.0,0.0,0.0,0.0,True,green
3150T__035_2000_080_085,80,85,68.9,-0.0,131.5,-0.5,52.1,-1.0,0.9999,0.03,0.1,0.4,True,green
3150T__035_2000_080_090,80,90,68.9,-0.0,130.9,-0.9,51.7,-1.8,0.9998,0.06,0.1,0.769,True,green
3150T__035_2000_080_095,80,95,68.9,0.1,130.5,-1.2,51.3,-2.5,0.9996,0.08,0.1,1.153,True,green
3150T__035_2000_080_100,80,100,69.0,0.1,130.1,-1.5,50.9,-3.2,0.9993,0.1,0.2,1.504,True,green
3150T__035_2000_080_105,80,105,69.0,0.2,129.8,-1.7,50.7,-3.6,0.9989,0.12,0.2,1.8559999999999999,True,green
3150T__035_2000_080_110,80,110,69.1,0.3,129.7,-1.8,50.6,-3.9,0.9985,0.14,0.3,2.2030000000000003,True,green
3150T__035_2000_080_115,80,115,69.1,0.3,129.6,-1.9,50.4,-4.3,0.9981,0.15,0.3,2.516,True,green
3150T__035_2000_080_120,80,120,69.1,0.3,129.6,-1.9,50.2,-4.6,0.9978,0.16,0.3,2.825,False,green
3150T__035_2000_085_040,85,40,68.9,-0.0,131.8,-0.2,55.3,5.1,0.995,0.39,0.7,4.234,False,yellow
3150T__035_2000_085_045,85,45,69.1,0.3,132.8,0.6,55.1,4.7,0.996,0.31,0.5,2.9530000000000003,False,green
3150T__035_2000_085_050,85,50,69.2,0.5,133.5,1.0,54.9,4.4,0.9971,0.24,0.4,1.954,False,green
3150T__035_2000_085_055,85,55,69.2,0.5,133.7,1.2,54.6,3.7,0.9981,0.18,0.3,1.5859999999999999,True,green
3150T__035_2000_085_060,85,60,69.1,0.4,133.5,1.1,54.2,2.9,0.999,0.13,0.2,1.236,True,green
3150T__035_2000_085_065,85,65,69.1,0.3,133.2,0.9,53.7,2.0,0.9995,0.09,0.2,0.8740000000000001,True,green
3150T__035_2000_085_070,85,70,69.0,0.1,132.7,0.5,53.1,1.0,0.9999,0.04,0.1,0.475,True,green
3150T__035_2000_085_075,85,75,68.9,0.0,132.1,0.0,52.6,-0.0,1.0,0.01,0.0,0.145,True,green
3150T__035_2000_085_080,85,80,68.9,-0.0,131.5,-0.4,52.0,-1.1,0.9999,0.03,0.1,0.376,True,green
3150T__035_2000_085_085,85,85,68.9,-0.0,130.9,-0.9,51.5,-2.1,0.9998,0.06,0.1,0.705,True,green
3150T__035_2000_085_090,85,90,68.9,-0.0,130.3,-1.3,51.1,-2.8,0.9995,0.09,0.2,1.069,True,green
3150T__035_2000_085_095,85,95,68.9,0.0,129.9,-1.7,50.7,-3.7,0.9991,0.11,0.2,1.41,True,green
3150T__035_2000_085_100,85,100,69.0,0.1,129.5,-1.9,50.4,-4.3,0.9987,0.13,0.2,1.744,True,green
3150T__035_2000_085_105,85,105,69.0,0.2,129.3,-2.1,50.2,-4.7,0.9982,0.15,0.3,2.074,True,green
3150T__035_2000_085_110,85,110,69.0,0.2,129.1,-2.3,50.0,-5.0,0.9977,0.16,0.3,2.386,False,green
3150T__035_2000_085_115,85,115,69.1,0.3,129.0,-2.3,49.8,-5.3,0.9973,0.17,0.3,2.6889999999999996,False,green
3150T__035_2000_085_120,85,120,69.1,0.3,129.0,-2.3,49.6,-5.7,0.997,0.18,0.4,2.967,False,green
3150T__035_2000_090_040,90,40,68.9,-0.0,131.4,-0.5,54.8,4.2,0.9943,0.35,0.7,4.135,False,yellow
3150T__035_2000_090_045,90,45,69.1,0.3,132.4,0.2,54.7,3.9,0.9956,0.27,0.5,2.875,False,yellow
3150T__035_2000_090_050,90,50,69.2,0.4,133.0,0.7,54.6,3.7,0.9969,0.21,0.4,1.857,False,green
3150T__035_2000_090_055,90,55,69.2,0.4,133.2,0.8,54.1,2.9,0.9981,0.15,0.3,1.2919999999999998,True,green
3150T__035_2000_090_060,90,60,69.1,0.3,133.0,0.7,53.7,2.0,0.999,0.1,0.2,0.848,True,green
3150T__035_2000_090_065,90,65,69.1,0.2,132.7,0.5,53.2,1.1,0.9996,0.06,0.1,0.489,True,green
3150T__035_2000_090_070,90,70,69.0,0.1,132.2,0.1,52.6,0.0,0.9999,0.02,0.1,0.325,True,green
3150T__035_2000_090_075,90,75,68.9,0.0,131.6,-0.4,52.1,-1.0,1.0,0.03,0.1,0.462,True,green
3150T__035_2000_090_080,90,80,68.9,-0.0,130.9,-0.9,51.5,-2.1,0.9998,0.06,0.1,0.731,True,green
3150T__035_2000_090_085,90,85,68.9,-0.0,130.3,-1.3,51.0,-3.0,0.9995,0.09,0.2,1.023,True,green
3150T__035_2000_090_090,90,90,68.9,0.0,129.8,-1.7,50.6,-3.8,0.999,0.11,0.2,1.3459999999999999,True,green
3150T__035_2000_090_095,90,95,68.9,0.1,129.4,-2.1,50.2,-4.6,0.9985,0.13,0.3,1.672,True,green
3150T__035_2000_090_100,90,100,69.0,0.1,129.0,-2.3,49.9,-5.2,0.9979,0.15,0.3,1.9680000000000002,False,green
3150T__035_2000_090_105,90,105,69.0,0.2,128.7,-2.5,49.7,-5.5,0.9974,0.17,0.3,2.271,False,green
3150T__035_2000_090_110,90,110,69.0,0.2,128.6,-2.6,49.5,-5.8,0.9968,0.18,0.4,2.575,False,green
3150T__035_2000_090_115,90,115,69.1,0.3,128.5,-2.7,49.4,-6.2,0.9963,0.2,0.4,2.855,False,green
3150T__035_2000_090_120,90,120,69.1,0.2,128.5,-2.7,49.2,-6.5,0.9959,0.21,0.4,3.103,False,yellow
3150T__035_2000_095_040,95,40,68.9,-0.0,131.0,-0.8,54.5,3.6,0.9935,0.32,0.7,4.055,False,yellow
3150T__035_2000_095_045,95,45,69.1,0.3,132.0,-0.0,54.4,3.3,0.995,0.24,0.5,2.7880000000000003,False,yellow
3150T__035_2000_095_050,95,50,69.2,0.4,132.6,0.4,54.2,3.0,0.9966,0.18,0.3,1.791,False,green
3150T__035_2000_095_055,95,55,69.2,0.4,132.8,0.5,53.8,2.2,0.998,0.12,0.2,1.202,False,green
3150T__035_2000_095_060,95,60,69.1,0.4,132.6,0.4,53.3,1.3,0.999,0.08,0.2,0.738,True,green
3150T__035_2000_095_065,95,65,69.1,0.3,132.2,0.1,52.8,0.3,0.9996,0.04,0.1,0.531,True,green
3150T__035_2000_095_070,95,70,69.0,0.2,131.7,-0.3,52.2,-0.7,0.9999,0.03,0.1,0.626,True,green
3150T__035_2000_095_075,95,75,69.0,0.1,131.1,-0.7,51.7,-1.8,0.9998,0.05,0.1,0.828,True,green
3150T__035_2000_095_080,95,80,68.9,0.1,130.5,-1.2,51.1,-2.8,0.9996,0.08,0.2,1.079,True,green
3150T__035_2000_095_085,95,85,68.9,0.0,129.9,-1.7,50.7,-3.7,0.9991,0.11,0.2,1.318,True,green
3150T__035_2000_095_090,95,90,68.9,0.1,129.4,-2.1,50.2,-4.6,0.9985,0.13,0.3,1.63,True,green
3150T__035_2000_095_095,95,95,69.0,0.1,128.9,-2.4,49.8,-5.3,0.9979,0.16,0.3,1.911,False,green
3150T__035_2000_095_100,95,100,69.0,0.2,128.6,-2.7,49.5,-5.9,0.9971,0.17,0.3,2.193,False,green
3150T__035_2000_095_105,95,105,69.0,0.2,128.3,-2.8,49.3,-6.3,0.9964,0.19,0.4,2.4819999999999998,False,green
