Separation S1-S2,Separation S2-S3,X-corr,tick
78.0,42.0,0.9956377446835504,1.0
79.0,42.0,0.9956102458896512,1.0
80.0,42.0,0.9955713076964903,1.0
81.0,42.0,0.9955235575570943,1.0
82.0,42.0,0.9954670485338458,1.0
83.0,42.0,0.9954011900914667,1.0
84.0,42.0,0.9953253916946774,1.0
85.0,42.0,0.9952390628082,1.0
86.0,42.0,0.9951420696794316,1.0
87.0,42.0,0.9950361056864718,1.0
88.0,42.0,0.9949233209900947,2.0
89.0,42.0,0.9948058657510752,2.0
90.0,42.0,0.9946858901301894,2.0
91.0,42.0,0.9945647796343331,2.0
92.0,42.0,0.9944408611548896,2.0
93.0,42.0,0.994311696929363,2.0
94.0,42.0,0.994174849195258,2.0
95.0,42.0,0.9940278801900796,2.0
96.0,42.0,0.9938693405332514,2.0
97.0,42.0,0.9937017343718757,2.0
98.0,42.0,0.9935285542349724,2.0
99.0,42.0,0.993353292651563,2.0
100.0,42.0,0.9931794421506683,2.0
101.0,42.0,0.9930096355996124,2.0
102.0,42.0,0.9928430672189279,2.0
103.0,42.0,0.9926780715674499,2.0
104.0,42.0,0.992512983204014,2.0
105.0,42.0,0.9923461366874563,2.0
106.0,42.0,0.9921763828872648,2.0
107.0,42.0,0.9920046379155392,2.0
108.0,42.0,0.991832334195031,2.0
109.0,42.0,0.9916609041484928,2.0
110.0,42.0,0.9914917801986777,2.0
111.0,42.0,0.9913260845704881,2.0
112.0,42.0,0.9911636986974302,2.0
113.0,42.0,0.991004193815162,2.0
114.0,42.0,0.9908471411593411,2.0
115.0,42.0,0.9906921119656245,2.0
116.0,42.0,0.9905386774696701,2.0
117.0,42.0,0.9903864089071351,2.0
118.0,42.0,0.9902348775136769,2.0
119.0,42.0,0.9900836545249532,2.0
120.0,42.0,0.9899323111766215,2.0
40.0,43.0,0.980846317332593,2.0
41.0,43.0,0.9815648302257561,2.0
42.0,43.0,0.982266625272122,2.0
43.0,43.0,0.9829529269980863,2.0
44.0,43.0,0.983624959930044,2.0
45.0,43.0,0.9842839485943908,2.0
46.0,43.0,0.9849311175175226,2.0
47.0,43.0,0.985567691225834,2.0
48.0,43.0,0.9861948942457206,2.0
49.0,43.0,0.9868139511035783,2.0
50.0,43.0,0.9874260863258014,2.0
51.0,43.0,0.9880313934728886,2.0
52.0,43.0,0.9886254422417461,2.0
53.0,43.0,0.989202671363382,2.0
54.0,43.0,0.989757519568805,2.0
55.0,43.0,0.9902844255890237,2.0
56.0,43.0,0.990779350983924,2.0
57.0,43.0,0.991244348628901,2.0
58.0,43.0,0.9916829942282261,2.0
59.0,43.0,0.9920988634861719,2.0
60.0,43.0,0.9924955321070106,2.0
61.0,43.0,0.9928755904964992,2.0
62.0,43.0,0.9932376878663348,2.0
63.0,43.0,0.9935794881296999,2.0
64.0,43.0,0.9938986551997763,2.0
65.0,43.0,0.994192852989747,2.0
66.0,43.0,0.994460315980904,2.0
67.0,43.0,0.9947015609269817,2.0
68.0,43.0,0.9949176751498238,2.0
69.0,43.0,0.995109745971274,1.0
70.0,43.0,0.9952788607131771,1.0
71.0,43.0,0.9954257937605646,1.0
72.0,43.0,0.9955500677512176,1.0
73.0,43.0,0.9956508923861032,1.0
74.0,43.0,0.9957274773661895,1.0
75.0,43.0,0.9957790323924453,1.0
76.0,43.0,0.995805572737712,1.0
77.0,43.0,0.9958103359623298,1.0
78.0,43.0,0.995797365198513,1.0
79.0,43.0,0.9957707035784743,1.0
80.0,43.0,0.9957343942344291,1.0
81.0,43.0,0.9956916326079955,1.0
82.0,43.0,0.9956422233784114,1.0
